# HOSTNAME = host
openmp,n_threads,par_loop,rep,elapsed_time,result
True,2,1,2,60.192807347513735,-918667776
True,2,1,3,63.89833668805659,-918667776
True,2,1,4,63.09258845914155,-918667776
True,2,1,5,64.94836889952421,-918667776
True,2,1,6,65.68639175314456,-918667776
True,2,1,7,61.02380688581616,-918667776
True,2,1,8,57.432447844184935,-918667776
True,2,1,9,66.34439123701304,-918667776
True,2,1,10,70.23398098908365,-918667776
True,3,1,1,45.85930788330734,-918667776
True,3,1,2,45.20500934589654,-918667776
True,3,1,3,41.793890411034226,-918667776
True,3,1,4,46.384663998149335,-918667776
True,3,1,5,48.09545162692666,-918667776
True,3,1,6,46.274410049431026,-918667776
True,3,1,7,44.61861759610474,-918667776
True,3,1,8,46.81114640273154,-918667776
True,3,1,9,44.42664568591863,-918667776
True,3,1,10,44.84433640167117,-918667776
